company_id,name,github_org_normalized,employees_in_db,priority_score,website
comp_903907fe59de,Utopia Labs,utopia-group,292,2920,https://www.coinbase.com/blog/coinbase-acquiring-team-to-accelerate-onchain-payments
comp_38ec20a96510,Anchorage Digital,codeforanchorage,291,2910,https://www.anchorage.com/
comp_90a215b8a056,Ava Labs,ava-labs,155,1550,https://www.avalabs.org/
comp_28620d45d9c2,Alchemy,alchemyplatform,141,1410,https://www.alchemy.com
comp_0ed2f6b4bee9,Uniswap Labs,uniswap,24,240,https://uniswap.org
comp_fdbd6606420c,Ripple,ripple,22,220,http://www.ripple.com
comp_1ad5fc3f5341,Polygon (previously Matic),0xpolygon,16,160,https://polygon.technology/solutions/polygon-zkevm/
comp_a3db80da99ec,Dapper Labs,dapperlabs,8,80,
comp_76d90ad0c30e,Ondo Finance,ondoprotocol,7,70,https://ondo.finance
comp_fdd00b92683b,MoonPay,moonpay,7,70,https://www.moonpay.com/
comp_0ace2bc21dc4,Crusoe,crusoecloud,6,60,https://crusoe.ai/
comp_5513403c47b9,Lightspark,lightsparkdev,6,60,https://www.lightspark.com/
comp_8f9c85c2aff0,Risc Zero,risc0,4,40,https://www.risczero.com/
comp_c32811d019ec,LayerZero Labs,layerzero-labs,4,40,http://layerzero.network
comp_5e26ff84426d,Blowfish,blowfishxyz,4,40,https://blowfish.xyz
comp_c41433dd0aaa,Bvnk,bvnk,4,40,https://www.bvnk.com
comp_c5c4b9755e73,Axiom,axiom-crypto,4,40,https://www.axiom.xyz/
comp_22ec305c2649,Injective,injectivelabs,4,40,https://injective.com/
comp_019bdb67c536,Bitso,bitsoex,4,40,https://bitso.com
comp_144462af83f8,Sky Mavis,skymavis,3,30,https://skymavis.com/
comp_63cdcf55ddcf,Mesh,consensysmesh,3,30,https://meshconnect.com
comp_25c6451a6344,Gauntlet,gauntlet-xyz,3,30,https://www.gauntlet.xyz
comp_07f6d94cb6a2,Bakkt,chrismoran-bkt,3,30,https://www.bakkt.com
comp_c35628785bc2,Agora,agoraio,3,30,https://www.voteagora.com/#Product
comp_4b937bfe122d,Polymarket,polymarket,3,30,
comp_3642e7496a03,Aztec,aztecprotocol,3,30,https://www.aztec-labs.com/
comp_557450688eb5,Autograph,autograph-core,2,20,https://link.ag.fan/autograph
comp_2ce3bde50f2d,Turnkey,tkhq,2,20,https://www.turnkey.com/
comp_0f9bde145677,Ankr,ankr-network,2,20,https://ankr.com/
comp_88d0b2a69871,Starkware,starkware-libs,2,20,http://www.starkware.co
comp_058a899a7d6e,Zora,ourzora,2,20,http://zora.co
comp_ae0156b48609,Opyn,opynfinance,2,20,https://markets.opyn.co/
comp_4c4e1111f1e5,Axelar Network,axelarnetwork,2,20,https://axelar.network
comp_c944655b2657,Helius,helius-labs,2,20,
comp_306e8fc6baee,Arbitrum,offchainlabs,2,20,https://arbitrum.io/
comp_97a2767afdc4,thirdweb,thirdweb-dev,2,20,https://thirdweb.com/
comp_073dea9d2433,Babylon Labs,babylonchain,2,20,https://babylonchain.io/
comp_b84cdd396f01,Alluvial,alluvialfinance,1,10,https://alluvial.finance/
comp_411d2f5092ce,Okta,okta,1,10,
comp_7f3bc78354a0,ethena-labs,ethena-labs,1,10,https://ethena.fi/restricted
comp_f8c03bfacd8b,Spring Labs,springlabs,1,10,https://www.springlabs.com
comp_778240a677da,Rain,rain-foundation,1,10,https://rain.com/?ga_ad=ln
comp_772c2bba3a26,Conduit,conduitxyz,1,10,https://www.conduit.xyz/
comp_23266748ed88,FTX,crypto-trading-bot-ftx,1,10,https://ftx.com/
comp_71cfbb4381e7,Nous Research,nousresearch,1,10,https://nousresearch.com/
comp_e23a362087c5,Privy,privy-io,1,10,https://www.privy.io/
comp_ba513cb74bd4,Chaos Labs,chaoslabsinc,1,10,https://chaoslabs.xyz
comp_f2a23488b520,Reservoir,reservoirprotocol,1,10,https://reservoir.tools/
comp_ea0d9a4df35b,O(1) Labs,o1-labs,1,10,https://www.o1labs.org/
comp_491afb940b95,Guardrail,guardrails-ai,1,10,https://www.guardrail.ai
comp_88275fa3a47d,osmosis-labs,osmosis-labs,1,10,https://osmosis.zone/
comp_e6c8af7672f5,Noble,noble-assets,1,10,https://www.noble.xyz/
comp_2f2b55424ec6,Lido Finance,lidofinance,1,10,https://lido.fi/
comp_d945e1cd1106,=nil; Foundation,nilfoundation,1,10,https://nil.foundation
comp_e0c3b91572ac,Plume,plumenetwork,1,10,http://www.plumefinder.com
comp_a0baab269096,Jambo,adilaf01,0,0,https://www.jambo.technology/
comp_de3ffae0e85c,Lootrush,smelthq,0,0,https://www.lootrush.com/
comp_ab3b1598e0b0,Exponential,kraikov,0,0,
comp_df83ae680bc3,MatchboxDAO,matchbox-dao,0,0,https://matchboxdao.com
comp_aaf2a318a4dc,Demisto,demisto,0,0,https://demisto.com
comp_a74e45c5a299,Dazz,areionsec,0,0,https://dazz.io
comp_e68f32f33443,Acala Foundation,acalanetwork,0,0,https://acala.network
comp_0807847376f9,Rockset,rockset,0,0,https://rockset.com
comp_a31cd9cce849,Neynar,neynarxyz,0,0,https://neynar.com
comp_a1a2da8ceaca,Yield.xyz,stakekit,0,0,https://www.yield.xyz
comp_9f8e45155f36,BAXUS,baxusnft,0,0,http://www.Baxus.co
comp_ad2d57dced20,Coinswitch,mitulmanish,0,0,https://coinswitch.co/
comp_9f43cc2d8d5a,GLIF,glifio,0,0,https://glif.io
